15:36:34.329 | 0f 5c 10 50 26 11 1b be 0e b2 20 18 15 bc 25 b1  |  -99 CRC error
15:36:34.599 | 0f 5d 10 5c 24 32 1f df 53 48 14 7f 22 b7 24 30  | -100 CRC error
15:36:34.869 | 0f 5e 10 68 1e ad 1f da 12 8b 12 0a 25 50 2b fe  |  -98 CRC error
15:36:35.132 | 0f 5f 10 74 2d 40 1d 99 19 5e 23 f3 11 46 29 70  | -100 CRC error
15:36:35.401 | 0f 60 10 80 1b f8 2c de 3d 44 49 ec 54 84 4d 64  |  -99 CRC error
15:36:35.934 | 0f 62 10 98 1d 99 18 4e 26 ef 2e 9d 0d 24 1c ca  |  -99 CRC error
15:36:36.204 | 0f 63 10 a4 2b 36 13 fc 1e 7e 2b f9 28 1f 29 52  |  -99 CRC error
15:36:36.473 | 0f 64 10 b0 13 b4 1d 3d 18 19 20 b5 21 10 2e 11  | -101 CRC error
15:36:36.736 | 0f 65 10 bc 18 0c 19 c7 29 dc 16 bd 26 28 1e e0  | -100 CRC error
15:36:37.006 | 0f 66 11 90 31 da 5e e4 31 ee 56 4c 5b 7c 48 80  | -100 CRC error
15:36:37.276 | 0f 67 10 d4 1c 5b 17 97 16 bb 2d bb 1d da 14 73  |  -99 CRC error
15:36:37.554 | 0f 68 10 e0 18 01 27 b7 22 f4 24 f9 1e 4f 21 fd  | -100 CRC error
15:36:37.824 | 0f 69 10 ec 1d 67 2d e8 1d 61 1e 42 12 c1 1c b4  |  -99 CRC error
15:36:38.078 | 0f 6a 21 f0 43 72 2f fc 21 88 2c fc 47 2a 67 e6  | -100 CRC error
15:36:38.357 | 0f 6b 11 04 0f d0 23 f5 26 5a 19 de 2e 26 20 bc  |  -99 CRC error
15:36:38.626 | 0f 6c 11 20 53 ae 1d 44 47 d4 34 80 47 76 86 b0  | -102 CRC error
15:36:38.880 | 0f 6d 12 38 58 ce 3e 16 3c 5e 48 ce 37 f0 7d dc  | -103 CRC error
15:36:39.159 | 0f 6e 11 28 20 a1 1f f3 24 ec 1a ac 1d 88 22 9d  |  -99 CRC error
15:36:39.429 | 0f 6f 11 34 26 cb 25 f9 28 19 22 b0 1f c4 1d a7  | -100 CRC error
15:36:39.698 | 0f 70 11 40 2a ab 18 23 28 5a 24 14 2b 41 27 ff  |  -96 CRC error
15:36:39.968 | 0f 71 11 4c 20 02 0e df 20 22 25 73 26 8a 2e 15  |  -97 CRC error
15:36:40.231 | 0f 72 11 58 2d ee 23 a9 22 7e 18 84 25 34 1e e4  |  -98 CRC error
15:36:40.500 | 0f 73 11 64 1c bd 21 7e 1f 0e 2c f5 2a 9a 18 e0  |  -97 CRC error
15:36:40.770 | 0f 74 11 70 21 5a 15 ce 0d 99 2b d2 22 ed 18 ad  | -100 CRC error
15:36:41.033 | 0f 75 11 f8 42 fe 3e 98 2b d8 f7 71 5f 05 8f 80  | -106 CRC error
15:36:41.303 | 0f 76 11 88 21 86 8d 08 80 74 67 c8 79 c0 f7 18  | -105 CRC error
15:36:41.572 | 0f 77 11 a8 52 70 33 78 4e da 2a fc 4d 82 53 00  | -103 CRC error
15:36:41.835 | 0f 78 6f 40 32 9c 7a f1 45 88 d1 53 e1 23 7e 80  | -106 CRC error
15:36:42.105 | 0f f9 11 ac 1f 09 18 41 26 12 1a d1 1e b4 1f 18  | -103 CRC error
15:36:42.375 | 0f 7a 11 b8 1f ca 1a d2 21 0b 2b b5 23 83 1f a2  | -102 CRC error
15:36:42.653 | 0f 7b 11 c4 1f d4 2a 8c 30 7e 47 8c 2a d4 3e 90  | -102 CRC error
15:36:42.907 | 0f 7c 11 d0 28 fc 19 dc 2e 7c 71 70 57 38 82 20  | -104 CRC error
15:36:43.177 | 0f 7d 11 dc 24 e3 28 7b 21 81 2c 7c 1b 45 16 f4  | -102 CRC error
15:36:43.456 | 0f 7e 11 e8 12 b4 2e 61 5e 89 10 38 f7 40 c8 60  | -100 CRC error
15:36:43.725 | 0f 7f 11 f4 1e fe 5c 94 81 f4 a2 b9 75 90 dc 72  | -103 CRC error
15:36:43.979 | 0f 80 32 00 4b 60 c8 78 79 40 56 ec 67 5c 73 e0  | -105 CRC error
15:36:44.258 | 0f 81 12 0c 16 b8 29 56 14 f1 28 fb 21 39 21 79  | -103 CRC error
15:36:44.528 | 0f 82 12 18 21 a0 1d af 1b 6b 2d d2 19 3b 20 75  | -102 CRC error
