10:01:23.476 | 01 | 4344 |  |  -92 CRC error
10:01:26.444 | 0f | 6985 | 00 00 a2 08 30 21 11 00 82 14 00 00 80  |  -90 CRC error
10:01:39.844 | 04 | 33035 | 14 11  |  -92 CRC error
10:01:52.194 | 07 | 4620 | 80 14 81 28 48  |  -91 CRC error
10:02:02.110 | 07 | 32832 | 80 21 01 21 18  |  -91 CRC error
10:02:11.233 | 0e | 32800 | 00 01 48 50 86 42 08 41 18 21 d4 31  |  -94 CRC error
10:02:12.320 | 0d | 22178 | 90 5e 24 80 00 8a a8 22 30 10 10  |  -95 CRC error
10:02:16.846 | 01 | 33282 |  |  -95 CRC error
10:02:18.743 | 06 | 1104 | 48 02 50 40  |  -94 CRC error
10:02:24.911 | 07 | 30034 | 00 02 20 24 01  |  -91 CRC error
10:02:34.311 | 0b | 0016 | 00 06 64 10 11 c0 60 40 08  |  -93 CRC error
10:02:45.126 | 48 | 32804 | 00 18 08 04 80 72 04 10 08 00 00 f0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  |  -85 CRC error
10:02:47.445 | 0d | 18695 | 68 1b 94 20 42 00 04 10 31 00 00  |  -94 CRC error
10:02:48.528 | 0f | 16387 | 88 25 04 40 40 15 12 80 56 00 e0 92 47  |  -92 CRC error
10:02:52.278 | 0f | 16984 | 04 00 85 14 18 18 36 20 18 00 00 13 03  |  -94 CRC error
10:03:04.612 | 07 | 35188 | 00 02 2c 2c c2  |  -94 CRC error
10:03:13.477 | 0f | 45057 | f0 00 02 0a 14 8c 28 44 c0 a1 a4 20 02  |  -96 CRC error
10:03:20.162 | 09 | 49173 | 40 00 18 41 14 11 e2  |  -93 CRC error
10:03:24.228 | 1f | 33143 | 60 01 c0 47 30 4b a2 00 c0 00 04 a2 80 80 00 00 00 01 00 00 01 02 00 11 20 00 05 80 00  |  -99 CRC error
10:03:27.678 | 07 | 55808 | 04 10 04 26 08  |  -91 CRC error
10:03:30.878 | 03 | 54812 | 10  |  -90 CRC error
10:03:31.162 | 07 | 0060 | 00 38 00 dd 00  |  -96 CRC error
10:03:34.378 | 0b | 14414 | a0 2c 00 12 ab 48 98 01 01  |  -93 CRC error
